CreationTime,Id,Operation,Organization,RecordType,ResultStatus,LogonError,UserKey,UserType,Version,Workload,ClientIP,ObjectId,UserId,AzureActiveDirectoryEventType,ExtendedProperties,ModifiedProperties,Actor,ActorContextId,ActorIpAddress,InterSystemsId,IntraSystemId,SupportTicketId,Target,TargetContextId
2021-01-22T19:14:30,6ca5e3eb-a91b-46c9-960d-3af7b30fa984,Update service principal.,,8,Success,,Not Available,4,1,AzureActiveDirectory,40.87.110.187,04f51225-d982-4931-bf10-6fe758ada7dc,ServicePrincipal_c9e943f6-e1a4-47cc-bef1-71c2c99d4478,1,"[{""Name"":""additionalDetails"",""Value"":""{\""User-Agent\"":\""Swagger-Codegen/1.4.0.0/csharp\""}""},{""Name"":""extendedAuditEventCategory"",""Value"":""ServicePrincipal""}]","[{""Name"":""Included Updated Properties"",""NewValue"":"""",""OldValue"":""""},{""Name"":""TargetId.ServicePrincipalNames"",""NewValue"":""04f51225-d982-4931-bf10-6fe758ada7dc"",""OldValue"":""""}]","[{""ID"":""Example Compromised App"",""Type"":1},{""ID"":""0b3ee864-e321-43ec-8045-15300246c07d"",""Type"":2},{""ID"":""ServicePrincipal_c9e943f6-e1a4-47cc-bef1-71c2c99d4478"",""Type"":2},{""ID"":""c9e943f6-e1a4-47cc-bef1-71c2c99d4478"",""Type"":2},{""ID"":""ServicePrincipal"",""Type"":2}]",f63b0907-690b-4c50-bc02-7b852a1d235e,40.87.110.187,b6d6463c-b235-4052-8523-5b68d324101a,4bf86ec0-ee0f-4f5b-a011-429014a0ea2d,,"[{""ID"":""ServicePrincipal_31d2fd17-7536-42f8-af65-7fe833dbb134"",""Type"":2},{""ID"":""31d2fd17-7536-42f8-af65-7fe833dbb134"",""Type"":2},{""ID"":""ServicePrincipal"",""Type"":2},{""ID"":""Example New App"",""Type"":1},{""ID"":""04f51225-d982-4931-bf10-6fe758ada7dc"",""Type"":2},{""ID"":""04f51225-d982-4931-bf10-6fe758ada7dc"",""Type"":4}]",f63b0907-690b-4c50-bc02-7b852a1d235e
2021-01-22T19:14:08,1acf46d7-b046-40f3-9dc2-bf79d901e324,Update service principal.,,8,Success,,100320010A243FE5@adaltfmx.onmicrosoft.com,0,1,AzureActiveDirectory,40.87.110.187,0b3ee864-e321-43ec-8045-15300246c07d,bcd@adaltfmx.onmicrosoft.com,1,"[{""Name"":""additionalDetails"",""Value"":""{\""User-Agent\"":\""Swagger-Codegen/1.4.0.0/csharp\""}""},{""Name"":""extendedAuditEventCategory"",""Value"":""ServicePrincipal""}]","[{""Name"":""TargetId.ServicePrincipalNames"",""NewValue"":""0b3ee864-e321-43ec-8045-15300246c07d"",""OldValue"":""""},{""Name"":""Included Updated Properties"",""NewValue"":""KeyDescription"",""OldValue"":""""}]","[{""ID"":""bcd@adaltfmx.onmicrosoft.com"",""Type"":5},{""ID"":""100320010A243FE5"",""Type"":3},{""ID"":""User_7d355762-d244-4b74-ba7b-09a65363d441"",""Type"":2},{""ID"":""7d355762-d244-4b74-ba7b-09a65363d441"",""Type"":2},{""ID"":""User"",""Type"":2}]",f63b0907-690b-4c50-bc02-7b852a1d235e,40.87.110.187,5881f0ed-b8b6-4267-a996-c4c6f49790b6,2ad87ec2-203f-4cce-9486-31b52724bf82,,"[{""ID"":""ServicePrincipal_c9e943f6-e1a4-47cc-bef1-71c2c99d4478"",""Type"":2},{""ID"":""c9e943f6-e1a4-47cc-bef1-71c2c99d4478"",""Type"":2},{""ID"":""ServicePrincipal"",""Type"":2},{""ID"":""Example Compromised App"",""Type"":1},{""ID"":""0b3ee864-e321-43ec-8045-15300246c07d"",""Type"":2},{""ID"":""0b3ee864-e321-43ec-8045-15300246c07d"",""Type"":4}]",f63b0907-690b-4c50-bc02-7b852a1d235e
2021-01-22T19:14:08,91f7f633-c56b-4e7b-82ef-a0822c363d75,Add service principal credentials.,,8,Success,,100320010A243FE5@adaltfmx.onmicrosoft.com,0,1,AzureActiveDirectory,40.87.110.187,0b3ee864-e321-43ec-8045-15300246c07d,bcd@adaltfmx.onmicrosoft.com,1,"[{""Name"":""additionalDetails"",""Value"":""{\""User-Agent\"":\""Swagger-Codegen/1.4.0.0/csharp\""}""},{""Name"":""extendedAuditEventCategory"",""Value"":""ServicePrincipal""}]","[{""Name"":""KeyDescription"",""NewValue"":""[  \""[KeyIdentifier=fadf7389-fde6-49fe-89d1-add702f91ff2,KeyType=Password,KeyUsage=Verify,DisplayName=]\"",  \""[KeyIdentifier=4f5634c6-79f1-4efb-acaf-05642593b4db,KeyType=AsymmetricX509Cert,KeyUsage=Verify,DisplayName=CN=local.com.azure.test]\""]"",""OldValue"":""[  \""[KeyIdentifier=fadf7389-fde6-49fe-89d1-add702f91ff2,KeyType=Password,KeyUsage=Verify,DisplayName=]\""]""},{""Name"":""Included Updated Properties"",""NewValue"":""KeyDescription"",""OldValue"":""""},{""Name"":""TargetId.ServicePrincipalNames"",""NewValue"":""0b3ee864-e321-43ec-8045-15300246c07d"",""OldValue"":""""}]","[{""ID"":""bcd@adaltfmx.onmicrosoft.com"",""Type"":5},{""ID"":""100320010A243FE5"",""Type"":3},{""ID"":""User_7d355762-d244-4b74-ba7b-09a65363d441"",""Type"":2},{""ID"":""7d355762-d244-4b74-ba7b-09a65363d441"",""Type"":2},{""ID"":""User"",""Type"":2}]",f63b0907-690b-4c50-bc02-7b852a1d235e,40.87.110.187,5881f0ed-b8b6-4267-a996-c4c6f49790b6,2ad87ec2-203f-4cce-9486-31b52724bf82,,"[{""ID"":""ServicePrincipal_c9e943f6-e1a4-47cc-bef1-71c2c99d4478"",""Type"":2},{""ID"":""c9e943f6-e1a4-47cc-bef1-71c2c99d4478"",""Type"":2},{""ID"":""ServicePrincipal"",""Type"":2},{""ID"":""Example Compromised App"",""Type"":1},{""ID"":""0b3ee864-e321-43ec-8045-15300246c07d"",""Type"":2},{""ID"":""0b3ee864-e321-43ec-8045-15300246c07d"",""Type"":4}]",f63b0907-690b-4c50-bc02-7b852a1d235e
2021-01-22T19:14:07,ac2cc538-be29-44d9-82f4-bbb951fca8fa,Update service principal.,,8,Success,,100320010A243FE5@adaltfmx.onmicrosoft.com,0,1,AzureActiveDirectory,40.87.110.187,0b3ee864-e321-43ec-8045-15300246c07d,bcd@adaltfmx.onmicrosoft.com,1,"[{""Name"":""additionalDetails"",""Value"":""{\""User-Agent\"":\""Swagger-Codegen/1.4.0.0/csharp\""}""},{""Name"":""extendedAuditEventCategory"",""Value"":""ServicePrincipal""}]","[{""Name"":""TargetId.ServicePrincipalNames"",""NewValue"":""0b3ee864-e321-43ec-8045-15300246c07d"",""OldValue"":""""},{""Name"":""Included Updated Properties"",""NewValue"":""KeyDescription"",""OldValue"":""""}]","[{""ID"":""bcd@adaltfmx.onmicrosoft.com"",""Type"":5},{""ID"":""100320010A243FE5"",""Type"":3},{""ID"":""User_7d355762-d244-4b74-ba7b-09a65363d441"",""Type"":2},{""ID"":""7d355762-d244-4b74-ba7b-09a65363d441"",""Type"":2},{""ID"":""User"",""Type"":2}]",f63b0907-690b-4c50-bc02-7b852a1d235e,40.87.110.187,7f9089e2-6311-49d0-9bfb-360c29f7b607,94fb9ded-75be-42b3-8103-84bc5b75bc00,,"[{""ID"":""ServicePrincipal_c9e943f6-e1a4-47cc-bef1-71c2c99d4478"",""Type"":2},{""ID"":""c9e943f6-e1a4-47cc-bef1-71c2c99d4478"",""Type"":2},{""ID"":""ServicePrincipal"",""Type"":2},{""ID"":""Example Compromised App"",""Type"":1},{""ID"":""0b3ee864-e321-43ec-8045-15300246c07d"",""Type"":2},{""ID"":""0b3ee864-e321-43ec-8045-15300246c07d"",""Type"":4}]",f63b0907-690b-4c50-bc02-7b852a1d235e
2021-01-22T19:14:07,059173b1-7f3a-4bc0-9735-ef6016d169b8,Add service principal credentials.,,8,Success,,100320010A243FE5@adaltfmx.onmicrosoft.com,0,1,AzureActiveDirectory,40.87.110.187,0b3ee864-e321-43ec-8045-15300246c07d,bcd@adaltfmx.onmicrosoft.com,1,"[{""Name"":""additionalDetails"",""Value"":""{\""User-Agent\"":\""Swagger-Codegen/1.4.0.0/csharp\""}""},{""Name"":""extendedAuditEventCategory"",""Value"":""ServicePrincipal""}]","[{""Name"":""KeyDescription"",""NewValue"":""[  \""[KeyIdentifier=fadf7389-fde6-49fe-89d1-add702f91ff2,KeyType=Password,KeyUsage=Verify,DisplayName=]\""]"",""OldValue"":""[]""},{""Name"":""Included Updated Properties"",""NewValue"":""KeyDescription"",""OldValue"":""""},{""Name"":""TargetId.ServicePrincipalNames"",""NewValue"":""0b3ee864-e321-43ec-8045-15300246c07d"",""OldValue"":""""}]","[{""ID"":""bcd@adaltfmx.onmicrosoft.com"",""Type"":5},{""ID"":""100320010A243FE5"",""Type"":3},{""ID"":""User_7d355762-d244-4b74-ba7b-09a65363d441"",""Type"":2},{""ID"":""7d355762-d244-4b74-ba7b-09a65363d441"",""Type"":2},{""ID"":""User"",""Type"":2}]",f63b0907-690b-4c50-bc02-7b852a1d235e,40.87.110.187,7f9089e2-6311-49d0-9bfb-360c29f7b607,94fb9ded-75be-42b3-8103-84bc5b75bc00,,"[{""ID"":""ServicePrincipal_c9e943f6-e1a4-47cc-bef1-71c2c99d4478"",""Type"":2},{""ID"":""c9e943f6-e1a4-47cc-bef1-71c2c99d4478"",""Type"":2},{""ID"":""ServicePrincipal"",""Type"":2},{""ID"":""Example Compromised App"",""Type"":1},{""ID"":""0b3ee864-e321-43ec-8045-15300246c07d"",""Type"":2},{""ID"":""0b3ee864-e321-43ec-8045-15300246c07d"",""Type"":4}]",f63b0907-690b-4c50-bc02-7b852a1d235e
2021-01-22T19:14:07,ed8a8d5b-4a64-4ddb-ae8a-81c538d93868,Update service principal.,,8,Success,,100320010A243FE5@adaltfmx.onmicrosoft.com,0,1,AzureActiveDirectory,40.87.110.187,0b3ee864-e321-43ec-8045-15300246c07d,bcd@adaltfmx.onmicrosoft.com,1,"[{""Name"":""additionalDetails"",""Value"":""{\""User-Agent\"":\""Swagger-Codegen/1.4.0.0/csharp\""}""},{""Name"":""extendedAuditEventCategory"",""Value"":""ServicePrincipal""}]","[{""Name"":""Included Updated Properties"",""NewValue"":"""",""OldValue"":""""},{""Name"":""TargetId.ServicePrincipalNames"",""NewValue"":""0b3ee864-e321-43ec-8045-15300246c07d"",""OldValue"":""""}]","[{""ID"":""bcd@adaltfmx.onmicrosoft.com"",""Type"":5},{""ID"":""100320010A243FE5"",""Type"":3},{""ID"":""User_7d355762-d244-4b74-ba7b-09a65363d441"",""Type"":2},{""ID"":""7d355762-d244-4b74-ba7b-09a65363d441"",""Type"":2},{""ID"":""User"",""Type"":2}]",f63b0907-690b-4c50-bc02-7b852a1d235e,40.87.110.187,22edaa08-5ee0-4a3d-9c69-dbde68a5d1f2,82c727de-05e4-4e70-96cd-20d68dbd1241,,"[{""ID"":""ServicePrincipal_c9e943f6-e1a4-47cc-bef1-71c2c99d4478"",""Type"":2},{""ID"":""c9e943f6-e1a4-47cc-bef1-71c2c99d4478"",""Type"":2},{""ID"":""ServicePrincipal"",""Type"":2},{""ID"":""Example Compromised App"",""Type"":1},{""ID"":""0b3ee864-e321-43ec-8045-15300246c07d"",""Type"":2},{""ID"":""0b3ee864-e321-43ec-8045-15300246c07d"",""Type"":4}]",f63b0907-690b-4c50-bc02-7b852a1d235e
2021-01-22T19:14:07,53136797-fab9-44a9-b4fe-e5cbf7db4b0c,Update service principal.,,8,Success,,100320010A243FE5@adaltfmx.onmicrosoft.com,0,1,AzureActiveDirectory,40.87.110.187,0b3ee864-e321-43ec-8045-15300246c07d,bcd@adaltfmx.onmicrosoft.com,1,"[{""Name"":""additionalDetails"",""Value"":""{\""User-Agent\"":\""Swagger-Codegen/1.4.0.0/csharp\""}""},{""Name"":""extendedAuditEventCategory"",""Value"":""ServicePrincipal""}]","[{""Name"":""Included Updated Properties"",""NewValue"":"""",""OldValue"":""""},{""Name"":""TargetId.ServicePrincipalNames"",""NewValue"":""0b3ee864-e321-43ec-8045-15300246c07d"",""OldValue"":""""}]","[{""ID"":""bcd@adaltfmx.onmicrosoft.com"",""Type"":5},{""ID"":""100320010A243FE5"",""Type"":3},{""ID"":""User_7d355762-d244-4b74-ba7b-09a65363d441"",""Type"":2},{""ID"":""7d355762-d244-4b74-ba7b-09a65363d441"",""Type"":2},{""ID"":""User"",""Type"":2}]",f63b0907-690b-4c50-bc02-7b852a1d235e,40.87.110.187,5285eec7-c4a5-4dc2-9393-79d09852d773,e6983280-3536-478e-8345-77e558320a26,,"[{""ID"":""ServicePrincipal_c9e943f6-e1a4-47cc-bef1-71c2c99d4478"",""Type"":2},{""ID"":""c9e943f6-e1a4-47cc-bef1-71c2c99d4478"",""Type"":2},{""ID"":""ServicePrincipal"",""Type"":2},{""ID"":""Example Compromised App"",""Type"":1},{""ID"":""0b3ee864-e321-43ec-8045-15300246c07d"",""Type"":2},{""ID"":""0b3ee864-e321-43ec-8045-15300246c07d"",""Type"":4}]",f63b0907-690b-4c50-bc02-7b852a1d235e
2021-01-22T19:11:59,308e4591-3e3b-4d4d-9732-f4614f313eb7,Update service principal.,,8,Success,,Not Available,4,1,AzureActiveDirectory,40.87.110.187,c0fcc8fb-334d-46df-9f49-b6a1d6f16249,ServicePrincipal_404eb306-3504-488d-b465-136a9afc0b79,1,"[{""Name"":""additionalDetails"",""Value"":""{\""User-Agent\"":\""Swagger-Codegen/1.4.0.0/csharp\""}""},{""Name"":""extendedAuditEventCategory"",""Value"":""ServicePrincipal""}]","[{""Name"":""Included Updated Properties"",""NewValue"":"""",""OldValue"":""""},{""Name"":""TargetId.ServicePrincipalNames"",""NewValue"":""c0fcc8fb-334d-46df-9f49-b6a1d6f16249"",""OldValue"":""""}]","[{""ID"":""Example Compromised App"",""Type"":1},{""ID"":""a5973a33-63f3-4b36-93f6-8f7b5ca78669"",""Type"":2},{""ID"":""ServicePrincipal_404eb306-3504-488d-b465-136a9afc0b79"",""Type"":2},{""ID"":""404eb306-3504-488d-b465-136a9afc0b79"",""Type"":2},{""ID"":""ServicePrincipal"",""Type"":2}]",f63b0907-690b-4c50-bc02-7b852a1d235e,40.87.110.187,291ca7f7-6120-48b5-9ba2-4b12e27d30e4,6b13acb1-4d43-45a4-b41c-617da039014e,,"[{""ID"":""ServicePrincipal_bbea2117-6467-4f61-b3c8-a9c2991cc7df"",""Type"":2},{""ID"":""bbea2117-6467-4f61-b3c8-a9c2991cc7df"",""Type"":2},{""ID"":""ServicePrincipal"",""Type"":2},{""ID"":""Example New App"",""Type"":1},{""ID"":""c0fcc8fb-334d-46df-9f49-b6a1d6f16249"",""Type"":2},{""ID"":""c0fcc8fb-334d-46df-9f49-b6a1d6f16249"",""Type"":4}]",f63b0907-690b-4c50-bc02-7b852a1d235e
2021-01-22T19:11:37,f86d1d24-7908-47db-ac95-c49d53e8abd3,Update service principal.,,8,Success,,100320010A243FE5@adaltfmx.onmicrosoft.com,0,1,AzureActiveDirectory,40.87.110.187,a5973a33-63f3-4b36-93f6-8f7b5ca78669,bcd@adaltfmx.onmicrosoft.com,1,"[{""Name"":""additionalDetails"",""Value"":""{\""User-Agent\"":\""Swagger-Codegen/1.4.0.0/csharp\""}""},{""Name"":""extendedAuditEventCategory"",""Value"":""ServicePrincipal""}]","[{""Name"":""TargetId.ServicePrincipalNames"",""NewValue"":""a5973a33-63f3-4b36-93f6-8f7b5ca78669"",""OldValue"":""""},{""Name"":""Included Updated Properties"",""NewValue"":""KeyDescription"",""OldValue"":""""}]","[{""ID"":""bcd@adaltfmx.onmicrosoft.com"",""Type"":5},{""ID"":""100320010A243FE5"",""Type"":3},{""ID"":""User_7d355762-d244-4b74-ba7b-09a65363d441"",""Type"":2},{""ID"":""7d355762-d244-4b74-ba7b-09a65363d441"",""Type"":2},{""ID"":""User"",""Type"":2}]",f63b0907-690b-4c50-bc02-7b852a1d235e,40.87.110.187,2487b939-7caf-47bc-b873-0a48482a2593,3a28498b-2457-4c43-a1d4-f5cfe70143c5,,"[{""ID"":""ServicePrincipal_404eb306-3504-488d-b465-136a9afc0b79"",""Type"":2},{""ID"":""404eb306-3504-488d-b465-136a9afc0b79"",""Type"":2},{""ID"":""ServicePrincipal"",""Type"":2},{""ID"":""Example Compromised App"",""Type"":1},{""ID"":""a5973a33-63f3-4b36-93f6-8f7b5ca78669"",""Type"":2},{""ID"":""a5973a33-63f3-4b36-93f6-8f7b5ca78669"",""Type"":4}]",f63b0907-690b-4c50-bc02-7b852a1d235e
2021-01-22T19:11:37,f9f2c5c6-dfc2-4151-8eb1-ef8e49339713,Add service principal credentials.,,8,Success,,100320010A243FE5@adaltfmx.onmicrosoft.com,0,1,AzureActiveDirectory,40.87.110.187,a5973a33-63f3-4b36-93f6-8f7b5ca78669,bcd@adaltfmx.onmicrosoft.com,1,"[{""Name"":""additionalDetails"",""Value"":""{\""User-Agent\"":\""Swagger-Codegen/1.4.0.0/csharp\""}""},{""Name"":""extendedAuditEventCategory"",""Value"":""ServicePrincipal""}]","[{""Name"":""KeyDescription"",""NewValue"":""[  \""[KeyIdentifier=62202901-a1e8-404e-a8ab-ea6cb005af1b,KeyType=Password,KeyUsage=Verify,DisplayName=]\""]"",""OldValue"":""[]""},{""Name"":""Included Updated Properties"",""NewValue"":""KeyDescription"",""OldValue"":""""},{""Name"":""TargetId.ServicePrincipalNames"",""NewValue"":""a5973a33-63f3-4b36-93f6-8f7b5ca78669"",""OldValue"":""""}]","[{""ID"":""bcd@adaltfmx.onmicrosoft.com"",""Type"":5},{""ID"":""100320010A243FE5"",""Type"":3},{""ID"":""User_7d355762-d244-4b74-ba7b-09a65363d441"",""Type"":2},{""ID"":""7d355762-d244-4b74-ba7b-09a65363d441"",""Type"":2},{""ID"":""User"",""Type"":2}]",f63b0907-690b-4c50-bc02-7b852a1d235e,40.87.110.187,2487b939-7caf-47bc-b873-0a48482a2593,3a28498b-2457-4c43-a1d4-f5cfe70143c5,,"[{""ID"":""ServicePrincipal_404eb306-3504-488d-b465-136a9afc0b79"",""Type"":2},{""ID"":""404eb306-3504-488d-b465-136a9afc0b79"",""Type"":2},{""ID"":""ServicePrincipal"",""Type"":2},{""ID"":""Example Compromised App"",""Type"":1},{""ID"":""a5973a33-63f3-4b36-93f6-8f7b5ca78669"",""Type"":2},{""ID"":""a5973a33-63f3-4b36-93f6-8f7b5ca78669"",""Type"":4}]",f63b0907-690b-4c50-bc02-7b852a1d235e
